tingkat setelah parent,parent,similarity
4,menggenangi,"[('terendam', 0.7872797846794128), ('tergenang', 0.7771524786949158), ('meluap', 0.7049257159233093), ('membanjiri', 0.6982278823852539), ('digenangi', 0.6964333057403564), ('dikeruk', 0.6565596461296082), ('genangan', 0.6547554731369019), ('menggenang', 0.6390953660011292), ('luapan', 0.6291806101799011), ('jebol', 0.6262623071670532)]"
4,luap,"[('meluap', 0.6822806000709534), ('luapan', 0.6269816756248474), ('derasnya', 0.5491743683815002), ('deras', 0.5477563738822937), ('gemetar', 0.5363200306892395), ('meluapkan', 0.5286914706230164), ('kegirangan', 0.5200203061103821), ('gulana', 0.5038415193557739), ('lahar', 0.5017581582069397), ('meluapnya', 0.49393415451049805)]"
4,keruh,"[('genangan', 0.7260035276412964), ('rendaman', 0.7173851132392883), ('jernih', 0.7137458324432373), ('menggenang', 0.7104461193084717), ('tergenang', 0.695120096206665), ('jernihnya', 0.6861801147460938), ('terendam', 0.6814615726470947), ('digenangi', 0.678686261177063), ('payau', 0.6752237677574158), ('terjunnya', 0.6609011888504028)]"
4,rusaknya,"[('terganggunya', 0.7768725156784058), ('pendangkalan', 0.6954792141914368), ('berkurangnya', 0.6731332540512085), ('erosi', 0.6677639484405518), ('penumpukan', 0.6677299737930298), ('timbulnya', 0.6664541363716125), ('hilangnya', 0.6659815907478333), ('eutrofikasi', 0.6602996587753296), ('pengikisan', 0.6552331447601318), ('abrasi', 0.6488354802131653)]"
4,eutrofikasi,"[('sedimentasi', 0.7306134104728699), ('pendangkalan', 0.6931717395782471), ('erosi', 0.6675506234169006), ('terganggunya', 0.664726197719574), ('rusaknya', 0.6602996587753296), ('pengendapan', 0.6485009789466858), ('asfiksia', 0.6435726284980774), ('hemolisis', 0.6298602819442749), ('deforestasi', 0.6267066597938538), ('pengikisan', 0.6241821050643921)]"
4,penumpukan,"[('dehidrasi', 0.7687078714370728), ('penyumbatan', 0.7588449120521545), ('pembusukan', 0.7409937381744385), ('penipisan', 0.7278090715408325), ('kebocoran', 0.7242450714111328), ('kontaminasi', 0.7233626842498779), ('obstruksi', 0.7167268991470337), ('pengendapan', 0.71123206615448), ('pembengkakan', 0.710313081741333), ('terganggunya', 0.7011006474494934)]"
4,rawan,"[('terdampak', 0.6508750915527344), ('rentan', 0.620752215385437), ('longsor', 0.5913406014442444), ('berbahaya', 0.5808265209197998), ('parah', 0.5700145363807678), ('berpotensi', 0.5659264922142029), ('erosi', 0.5384641885757446), ('memprihatinkan', 0.5226987600326538), ('rusaknya', 0.5221664309501648), ('sensitif', 0.5215425491333008)]"
4,lamping,"[('gumuk', 0.6367252469062805), ('kalimati', 0.6300777792930603), ('bedeng', 0.6294134259223938), ('sigura', 0.6250214576721191), ('cibedug', 0.6167643666267395), ('selorejo', 0.6165075898170471), ('putat', 0.6143999099731445), ('rowo', 0.6110112071037292), ('kaso', 0.610255241394043), ('candran', 0.6058005690574646)]"
4,vulkanik,"[('vulkanis', 0.8796757459640503), ('gunungapi', 0.7934269905090332), ('tuf', 0.782448410987854), ('vulkanisme', 0.7677695751190186), ('breksi', 0.7418140172958374), ('volkanik', 0.7347806692123413), ('lava', 0.7338594794273376), ('tektonik', 0.7333250641822815), ('kaldera', 0.7303441762924194), ('endapan', 0.7231028079986572)]"
4,kaldera,"[('gunungapi', 0.7466490268707275), ('vulkanik', 0.7303440570831299), ('kawah', 0.7124195694923401), ('letusan', 0.6925520896911621), ('lava', 0.692237377166748), ('vulkanis', 0.6876298785209656), ('freatik', 0.6762901544570923), ('fumarol', 0.672343373298645), ('erupsi', 0.6685068607330322), ('kepundan', 0.6674752235412598)]"
4,berapi,"[('vulkanik', 0.6960921287536621), ('stratovolcano', 0.6910877227783203), ('letusan', 0.6532516479492188), ('vulkanis', 0.6508435010910034), ('kaldera', 0.6447689533233643), ('erupsi', 0.6405206918716431), ('gunungapi', 0.6230941414833069), ('kepundan', 0.5904049873352051), ('vesuvius', 0.5886725187301636), ('fumarol', 0.5708373188972473)]"
4,vulkanis,"[('vulkanik', 0.8796756863594055), ('gunungapi', 0.7501320838928223), ('vulkanisme', 0.7279934883117676), ('tuf', 0.7226185202598572), ('fumarol', 0.7136828303337097), ('kaldera', 0.6876299381256104), ('lava', 0.681769609451294), ('freatik', 0.6801816821098328), ('breksi', 0.6731484532356262), ('erupsi', 0.6708786487579346)]"
4,tubrukan,"[('kenampakan', 0.7194979190826416), ('akresi', 0.7082207798957825), ('tumbukan', 0.687652587890625), ('retakan', 0.6845692992210388), ('vulkanik', 0.6797403693199158), ('kawah', 0.6767633557319641), ('vulkanisme', 0.6703166961669922), ('ganymede', 0.6678979992866516), ('callisto', 0.6655048727989197), ('kaldera', 0.6640676856040955)]"
4,freatik,"[('vulkanik', 0.7037310004234314), ('fumarol', 0.6924956440925598), ('longsoran', 0.6912353038787842), ('lava', 0.6901276707649231), ('vulkanis', 0.6801816821098328), ('kaldera', 0.6762901544570923), ('vulkanisme', 0.6628172397613525), ('tuf', 0.662742555141449), ('piroklastik', 0.6626355648040771), ('solfatara', 0.6608309745788574)]"
4,semburan,"[('letupan', 0.771887481212616), ('percikan', 0.6760860681533813), ('kilatan', 0.6549823880195618), ('longsoran', 0.6530119776725769), ('ledakan', 0.6449066400527954), ('tubrukan', 0.6406760215759277), ('pancaran', 0.6300097107887268), ('letusan', 0.6286265254020691), ('debu', 0.627963125705719), ('retakan', 0.6254886388778687)]"
4,getaran,"[('gesekan', 0.7227330803871155), ('distorsi', 0.7020105719566345), ('pantulan', 0.6895212531089783), ('kejut', 0.6859278678894043), ('bergetar', 0.6772773861885071), ('guncangan', 0.676841139793396), ('vibrasi', 0.6763314604759216), ('kebisingan', 0.6681264042854309), ('derau', 0.6668878197669983), ('tarikan', 0.664065957069397)]"
4,susulan,"[('episenter', 0.6145632863044739), ('guncangan', 0.6102030873298645), ('episentrum', 0.551845133304596), ('hiposenter', 0.5388237237930298), ('vei', 0.5370367169380188), ('richter', 0.5296737551689148), ('rentetan', 0.5250766277313232), ('letusan', 0.5010261535644531), ('gempa', 0.4981611967086792), ('diguncang', 0.49320369958877563)]"
4,benturan,"[('gesekan', 0.7735524773597717), ('friksi', 0.7123427987098694), ('goncangan', 0.6761403679847717), ('tabrakan', 0.6760497689247131), ('deformasi', 0.6693745851516724), ('pemuaian', 0.6467172503471375), ('keretakan', 0.6425551772117615), ('turbulensi', 0.6396507620811462), ('tarikan', 0.6392524838447571), ('tumbukan', 0.6382947564125061)]"
4,hantaman,"[('terjangan', 0.6518606543540955), ('tembakan', 0.6446263790130615), ('sabetan', 0.6240652799606323), ('tusukan', 0.620956301689148), ('goncangan', 0.6185899376869202), ('pukulan', 0.6161171793937683), ('tubi', 0.6054788827896118), ('guncangan', 0.604173481464386), ('benturan', 0.6009771227836609), ('mortir', 0.5920887589454651)]"
4,deformasi,"[('pemuaian', 0.7631058096885681), ('pengendapan', 0.7554032206535339), ('regangan', 0.7503184676170349), ('turbulensi', 0.7346510887145996), ('plastis', 0.7311446666717529), ('kontraksi', 0.7237592339515686), ('tumbukan', 0.7156422734260559), ('konduksi', 0.7103556394577026), ('perlapisan', 0.7090227603912354), ('fluida', 0.7056863307952881)]"
