tingakt,parent,similarity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3,softball,"[('hockey', 0.7725725173950195), ('badminton', 0.7673668265342712), ('billiard', 0.7568075656890869), ('sofbol', 0.7567187547683716), ('taekwondo', 0.7367989420890808), ('gymnastic', 0.7280784249305725), ('rowing', 0.725690484046936), ('futsal', 0.7253044843673706), ('volley', 0.7231674194335938), ('basketball', 0.7127463221549988)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36
3,hoki,"[('bisbol', 0.7232431173324585), ('pehoki', 0.6975387930870056), ('sofbol', 0.6939889788627625), ('biliar', 0.6625627875328064), ('curling', 0.6524929404258728), ('hockey', 0.6445553302764893), ('seluncur', 0.6431006789207458), ('anggar', 0.6205516457557678), ('baseball', 0.6171678304672241), ('kriket', 0.60478276014328)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37
3,curling,"[('sofbol', 0.6913211345672607), ('luge', 0.6655058264732361), ('hockey', 0.6539170742034912), ('hoki', 0.6524930000305176), ('biliar', 0.6347655057907104), ('snooker', 0.628423810005188), ('bobsled', 0.6230851411819458), ('skating', 0.6173627972602844), ('atletik', 0.6108001470565796), ('bisbol', 0.6088717579841614)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38
3,kasti,"[('biliar', 0.7705169916152954), ('pingpong', 0.7164667248725891), ('volley', 0.6983904242515564), ('sofbol', 0.6889139413833618), ('basket', 0.6734179258346558), ('voly', 0.6732307076454163), ('menyepak', 0.6714044213294983), ('mengoper', 0.6673425436019897), ('volly', 0.6599456667900085), ('bisbol', 0.6584888100624084)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
3,badminton,"[('bulutangkis', 0.789679765701294), ('futsal', 0.7717888355255127), ('taekwondo', 0.7675222158432007), ('softball', 0.7673669457435608), ('petanque', 0.7321290373802185), ('billiard', 0.7067328691482544), ('cheerleading', 0.6965042948722839), ('volleyball', 0.6904074549674988), ('tennis', 0.6835128664970398), ('sofbol', 0.6818092465400696)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
3,snooker,"[('billiard', 0.7389149069786072), ('biliar', 0.7294223308563232), ('sofbol', 0.6752832531929016), ('boling', 0.6697406768798828), ('baseball', 0.6660053730010986), ('handball', 0.6632912158966064), ('lacrosse', 0.6589381098747253), ('volley', 0.6569460034370422), ('swimming', 0.6522810459136963), ('skateboard', 0.6518265008926392)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41
3,volley,"[('volly', 0.9241746664047241), ('voly', 0.8167643547058105), ('voli', 0.7613329291343689), ('billiard', 0.7490127086639404), ('softball', 0.7231674194335938), ('bilyard', 0.7174837589263916), ('biliar', 0.7157180309295654), ('futsal', 0.7093572020530701), ('kasti', 0.698390543460846), ('basket', 0.6883544921875)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42
3,skating,"[('seluncur', 0.7234245538711548), ('snowboarding', 0.6940979361534119), ('luge', 0.6753585338592529), ('bobsled', 0.6632089018821716), ('ski', 0.6578911542892456), ('beregu', 0.6411641836166382), ('downhill', 0.6367581486701965), ('curling', 0.6173628568649292), ('skiing', 0.6104252934455872), ('panahan', 0.6067072749137878)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
3,berenang,"[('menyelam', 0.8253433108329773), ('berjemur', 0.6828881502151489), ('memancing', 0.6786130666732788), ('berselancar', 0.6719685792922974), ('mendayung', 0.6617383360862732), ('mengapung', 0.6515031456947327), ('berolahraga', 0.6478541493415833), ('berendam', 0.6438637971878052), ('snorkeling', 0.6311162114143372), ('berlari', 0.6117298007011414)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44
3,selancar,"[('berselancar', 0.729402482509613), ('snorkeling', 0.7187156677246094), ('paralayang', 0.6874709129333496), ('seluncur', 0.6767749190330505), ('surfing', 0.6664087176322937), ('ski', 0.6569368839263916), ('diving', 0.6535110473632812), ('scuba', 0.6524094939231873), ('jetski', 0.6451204419136047), ('mancing', 0.6328615546226501)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
